gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
110684,Fletcher Cowan,Capital Gymnastics,Level 6,NONE,2023 Central Champs,"AA, App",0.0,0.0,0.0,0,0,8.75,2,6.75,0,3,8.9,1.0,7.9,0,4,11.45,2.0,9.45,0,3,10.0,1.3,8.7,0,2,10.1,2.0,8.1,0,1,49.200,0,2023-05-20T21:43:04.451Z
226421,Kamran Rahman,Capital Gymnastics,Level 6,NONE,2023 Central Champs,"AA, App",0.0,0.0,0.0,0,0,9.05,2,7.05,0,1,9.45,2.0,7.45,0,2,0.0,0.0,0.0,0,0,10.0,1.6,8.4,0,2,10.0,2.0,8.0,0,2,38.500,0,2023-05-20T21:39:56.276Z
281456,Grayson Sullivan-Jones,Manawatu Gymnastics,Level 6,NONE,2023 Central Champs,"AA, App",10.95,2.6,8.35,0,1,8.9,2,6.9,0,2,9.15,1.0,8.15,0,3,11.95,2.8,9.15,0,1,9.7,2.3,7.4,0,4,9.2,2.3,6.9,0,4,59.850,2,2023-05-20T21:42:23.960Z
550170,Armant Beukes,Manawatu Gymnastics,Level 6,NONE,2023 Central Champs,"AA, App",10.55,2.0,8.55,0,2,8.25,2,6.25,0,4,10.2,2.3,7.9,0,1,11.65,2.8,8.85,0,2,11.15,2.6,8.55,0,1,9.85,1.3,8.55,0,3,61.650,1,2023-05-20T22:01:00.290Z
