gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
185755,Code Rowlingson,Hamilton City Gymnastics,Level 9,NONE,2023 ARGOS Senior Competition,All-Around,14.3,5.9,8.4,0.0,2,10.933,3.6,7.333,0.0,1,13.3,4.2,9.1,0,2,10.633,2.8,7.833,0,3,13.466,4.6,8.866,0,1,12.766,4.4,8.366,0,1,75.398,2,2023-04-01T06:20:53.839Z
122240,Keegan Greene,Hamilton City Gymnastics,Level 9,NONE,2023 ARGOS Senior Competition,All-Around,15.366,7.3,8.266,0.2,1,10.9,3.3,7.9,0.3,2,12.366,3.7,8.666,0,3,12.2,3.2,9.0,0,1,12.633,5.0,7.633,0,2,12.4,3.5,8.9,0,3,75.865,1,2023-04-01T06:22:51.965Z
517620,Peter Nicholls,Tri Star Gymnastics,Level 9,NONE,2023 ARGOS Senior Competition,All-Around,13.933,5.9,8.033,0.0,3,9.8,4.4,5.4,0.0,3,13.933,6.1,7.833,0,1,11.5,3.2,8.3,0,2,11.766,4.6,7.166,0,3,12.466,4.4,8.066,0,2,73.398,3,2023-04-01T06:24:46.269Z
