gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
204309,Ella Rowe,Dunedin Gymnastics Academy,8,OVER,Southern Artistic Championships Competition,AA,1,12.133,3.400,1,10.650,3.300,1,8.566,2.900,2,12.100,3.700,1,43.449,1,23 May 2022
192451,Hannah Pearce,Dunedin Gymnastics Academy,8,OVER,Southern Artistic Championships Competition,AA,1,9.700,3.200,2,9.850,2.300,2,10.633,4.000,1,11.350,4.100,2,41.533,2,23 May 2022
