,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,199922,Saxon Rackley,ARGOS Gymnastics Club,6,NONE,Auckland Manukau Champs,"AA, Team & Apparatus",9.4,1.3,8.1,10.1,2.3,7.8,10.5,2.0,8.5,11.3,2,9.3,9.3,1.3,8.0,10.05,1.3,8.75,60.650,,2022-06-04
1,122484,Blake Taylor,Hamilton City Gymnastics,6,NONE,Auckland Manukau Champs,"AA, Team & Apparatus",7.0,0.0,7.0,9.7,2.0,7.7,9.2,1.0,8.2,11.2,2,9.2,7.8,0.0,7.8,9.6,2.0,7.6,54.500,,2022-06-04
2,227331,Noah Lowrie,Hamilton City Gymnastics,6,NONE,Auckland Manukau Champs,"AA, Team & Apparatus",9.8,2.0,7.8,8.5,2.0,6.5,10.6,2.0,8.6,10.6,2,8.6,9.3,2.0,7.3,10.85,2.0,8.85,59.650,,2022-06-04
3,542141,Michael Hughes,North Harbour Gymnastics,6,NONE,Auckland Manukau Champs,"AA, Team & Apparatus",7.8,0.0,7.8,9.5,2.0,7.5,10.25,1.3,8.95,11.2,2,9.2,9.6,2.0,7.6,9.7,1.0,8.7,58.050,,2022-06-04
