,gnz-id,name,club,step,division,competition,round-type,day,fx-total,fx-d,fx-rank,ph-total,ph-d,ph-rank,sr-total,sr-d,sr-rank,vt-total,vt-d,vt-rank,pb-total,pb-d,pb-rank,hb-total,hb-d,hb-rank,aa-score,aa-rank,date-created
0,151028,Ihaka Taituha,Hamilton City Gymnastics,7,NONE,Midlands Junior-Senior Artistic Championships 2022,AA,1,13.400,4.800,1,12.100,4.000,1,12.550,3.700,1,11.800,2.900,1,13.100,3.900,1,13.400,4.800,1,74.750,1,29 May 2022
1,202612,Joshua Chisholm,Hamilton City Gymnastics,7,NONE,Midlands Junior-Senior Artistic Championships 2022,AA,1,12.150,4.600,4,11.750,3.300,3,11.700,2.900,2,10.000,2.200,4,12.400,3.300,2,12.150,4.600,4,69.750,2,29 May 2022
2,200283,Frankie Lowrie,Hamilton City Gymnastics,7,NONE,Midlands Junior-Senior Artistic Championships 2022,AA,1,12.500,4.300,2,11.950,3.500,2,11.600,2.700,3,10.450,1.600,3,11.950,3.400,3,12.500,4.300,2,69.250,3,29 May 2022
3,303253,Andrew Bullock,Mt Tauhara,7,NONE,Midlands Junior-Senior Artistic Championships 2022,AA,1,12.400,4.900,3,DNS,DNS,DNS,10.400,3.000,4,11.750,2.900,2,DNS,DNS,DNS,12.400,4.900,3,DNF,-,29 May 2022
