gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
559825,Jaxson Warner,Christchurch School of Gymnastics,Level 6,NONE,Top of the South Gymnastics Competition,Apparatus and all-around,9.566,2.0,7.566,0,1,9.6,2.0,7.6,0,2,9.033,1.3,7.733,0,2,11.2,2.8,8.4,0,1,10.6,2.3,8.3,0,2,7.533,1,6.533,0,2,57.532,2,2023-04-22T06:35:57.455Z
239816,Ashton Calveley,Gymnastics Nelson,Level 6,NONE,Top of the South Gymnastics Competition,Apparatus and all-around,8.7,2.3,6.4,0,2,9.966,2.3,7.666,0,1,9.633,2.0,7.633,0,1,10.933,2.0,8.933,0,2,10.8,2.9,7.9,0,1,9.4,2,7.4,0,1,59.432,1,2023-04-22T06:34:16.686Z
