,gnz-id,name,club,step,division,competition,round-type,day,fx-total,fx-d,fx-rank,ph-total,ph-d,ph-rank,sr-total,sr-d,sr-rank,vt-total,vt-d,vt-rank,pb-total,pb-d,pb-rank,hb-total,hb-d,hb-rank,aa-score,aa-rank,date-created
0,270341,Preston Wheeler,DGA,5,NONE,CSG Classic 2022,APP,1,DNS,DNS,DNS,11.200,2.300,3,11.050,2.000,1,11.400,2.000,1,11.150,2.600,2,11.100,2.000,1,55.900,,5 May 2022
1,533815,Robson McKee,IGC,5,NONE,CSG Classic 2022,APP,1,DNS,DNS,DNS,DNS,DNS,DNS,10.150,2.000,6,11.350,2.000,2,10.400,2.300,7=,10.750,2.600,3,42.650,,5 May 2022
2,241388,Luke Findlay,TRI,5,NONE,CSG Classic 2022,APP,1,DNS,DNS,DNS,10.600,2.000,7=,10.000,2.000,7,11.050,2.000,3,DNS,DNS,DNS,11.050,2.000,2,42.700,,5 May 2022
3,272951,Andre Hall,CSG,5,NONE,CSG Classic 2022,APP,1,DNS,DNS,DNS,10.800,2.000,6,DNS,DNS,DNS,10.950,2.000,4,10.400,2.600,7=,DNS,DNS,DNS,32.150,,5 May 2022
4,110684,Fletcher Cowan,CAP,5,NONE,CSG Classic 2022,APP,1,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,10.850,2.000,5,11.000,2.300,4,9.850,2.000,6,31.700,,5 May 2022
5,296323,Janko Viljoen,TRI,5,NONE,CSG Classic 2022,APP,1,DNS,DNS,DNS,11.100,2.300,4,10.200,2.300,5,10.800,2.000,6,11.100,2.600,3,DNS,DNS,DNS,43.200,,5 May 2022
6,239816,Ashton Calveley,NEL,5,NONE,CSG Classic 2022,APP,1,DNS,DNS,DNS,11.500,2.300,1,10.300,2.000,3=,9.700,2.000,7,11.250,2.600,1,9.500,1.000,7,52.250,,5 May 2022
7,272558,Rory Marsden,HVG,5,NONE,CSG Classic 2022,APP,1,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,0,,5 May 2022
