,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,184751,Evan Byrne,Affinity Gymnastics Academy,8,NONE,Canterbury Intermediate & Senior Championships 2022,DAY 2 - App Finals,11.95,5.5,6.45,11.2,3.8,7.4,0.0,0.0,0.0,11.85,3.2,8.65,12.3,4.9,7.4,0.0,0.0,0.0,47.300,,2022-06-04
1,62350,Cole Stevens,Christchurch School of Gymnastics,8,NONE,Canterbury Intermediate & Senior Championships 2022,DAY 2 - App Finals,13.7,5.3,8.4,12.4,4.1,8.3,0.0,0.0,0.0,12.0,3.2,8.8,12.85,3.6,9.25,11.95,3.8,8.15,62.900,,2022-06-04
2,215065,Rohan Leckie-Zaharic,Dunedin Gymnastics Academy,8,NONE,Canterbury Intermediate & Senior Championships 2022,DAY 2 - App Finals,13.8,5.9,7.9,9.45,2.8,6.95,11.55,3.0,8.55,11.25,2.4,8.85,10.55,2.7,7.85,6.0,1.2,8.8,62.600,,2022-06-04
3,160304,Will Orchiston,Dunedin Gymnastics Academy,8,NONE,Canterbury Intermediate & Senior Championships 2022,DAY 2 - App Finals,13.45,6.5,6.95,5.45,2.1,5.65,11.3,3.2,8.1,11.8,3.2,8.7,12.2,3.5,8.7,7.75,1.9,8.85,61.950,,2022-06-04
4,215080,William Cresswell,Dunedin Gymnastics Academy,8,NONE,Canterbury Intermediate & Senior Championships 2022,DAY 2 - App Finals,13.9,6.2,7.7,11.9,4.1,7.8,12.5,5.0,7.5,10.65,3.6,7.05,13.6,4.5,9.1,10.8,3.6,7.2,73.350,,2022-06-04
5,213573,Lewis Karetai,Gymnastics Nelson,8,NONE,Canterbury Intermediate & Senior Championships 2022,DAY 2 - App Finals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,,2022-06-04
