gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
173931,Lucy Roberts,Capital,Step 10,NONE,2023 Tri Star Senior Champs,AA - Day 1,,11.883,3.3,8.582,0,1,10.166,2.6,7.566,0,1,11.0,3.5,7.5,0,2,12.1,3.5,8.6,0,2,45.149,2,2023-05-13T04:12:06.521Z
541960,Cailin Sargent,NHG,Step 10,NONE,2023 Tri Star Senior Champs,AA - Day 1,,11.45,2.4,9.05,0,2,8.233,2.1,6.133,0,2,12.55,4.8,7.75,0,1,12.466,3.7,8.766,0,1,44.699,1,2023-05-13T04:13:51.986Z
