gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
266652,Charlotte Watkins,Dunedin Gymnastics Academy,STEP 7,NONE,Southern Champs 2023,All Around and Team,,11.633,3.2,8.433,0,1,12.05,3.5,8.55,0,1,10.65,3.3,7.35,0,3,12.1,4.0,8.1,0.0,3,46.433,1,2023-04-29T07:10:11.485Z
236450,Holly Weatherall,Dunedin Gymnastics Academy,STEP 7,NONE,Southern Champs 2023,All Around and Team,,10.466,1.6,8.866,0,3,10.85,2.7,8.15,0,2,10.85,3.1,7.75,0,2,12.6,3.5,9.1,0.0,1,44.766,3,2023-04-29T07:15:06.579Z
255646,Agatha Austin,Dunedin Gymnastics Academy,STEP 7,NONE,Southern Champs 2023,All Around and Team,,11.033,1.6,9.433,0,2,10.05,2.1,7.95,0,3,12.55,4.4,8.15,0,1,12.45,4.0,8.45,0.0,2,46.083,2,2023-04-29T07:13:04.105Z
535862,Arabella Shelton,Timaru Gymnastics Club,STEP 7,NONE,Southern Champs 2023,All Around and Team,,9.833,1.6,8.233,0,4,8.5,1.5,7.0,0,4,7.25,1.7,5.55,0,4,5.25,1.6,8.15,4.5,4,30.833,4,2023-04-29T07:17:48.978Z
